['function', 'address', 'id']
['AccountsSecurityAccountsSecurityClear', '00000000100F35A0', '1']
['AccountsSecurityAccountsSecurityInit', '00000000100F35D0', '2']
['AgeRestrictionAgeRestrictionClear', '00000000100F35F0', '3']
['AgeRestrictionAgeRestrictionInit', '00000000100F3610', '4']
['AntiAddictionAntiAddictionStateClear', '00000000100F3630', '5']
['AntiAddictionAntiAddictionStateInit', '00000000100F36C0', '6']
['AppCommandAuthStatusClear', '00000000100F36E0', '7']
['AppCommandAuthStatusInit', '00000000100F3710', '8']
['AppFocusRequestClear', '00000000100F3720', '9']
['AppFocusRequestInit', '00000000100F3740', '10']
['BoolArrayClear', '00000000100F3750', '11']
['BoolKVArrayClear', '00000000100F3770', '12']
['CBindingPropertyArrayClear', '00000000100F37C0', '13']
['CBindingPropertyKVArrayClear', '00000000100F38F0', '14']
['ChatAccountChatSettingsClear', '00000000100F3A30', '15']
['ChatAccountChatSettingsInit', '00000000100F3B60', '16']
['ChatActiveConvoClear', '00000000100F3720', '17']
['ChatActiveConvoInit', '00000000100F3740', '18']
['ChatBlockPidClear', '00000000100F36E0', '19']
['ChatBlockPidInit', '00000000100F3710', '20']
['ChatChatBlockedListClear', '00000000100F3C10', '21']
['ChatChatBlockedListInit', '00000000100F3710', '22']
['ChatChatBlockedPlayerArrayClear', '00000000100F3C30', '23']
['ChatChatBlockedPlayerArrayInit', '00000000100F3CC0', '24']
['ChatChatBlockedPlayerClear', '00000000100F3CE0', '25']
['ChatChatBlockedPlayerInit', '00000000100F36C0', '26']
['ChatChatFriendArrayClear', '00000000100F3D30', '27']
['ChatChatFriendArrayInit', '00000000100F3CC0', '28']
['ChatChatFriendClear', '00000000100F3DF0', '29']
['ChatChatFriendInit', '00000000100F3E70', '30']
['ChatChatFriendsClear', '00000000100F3E90', '31']
['ChatChatFriendsInit', '00000000100F3710', '32']
['ChatChatGamePresenceClear', '00000000100F3EB0', '33']
['ChatChatGamePresenceInit', '00000000100F3F10', '34']
['ChatChatGroupArrayClear', '00000000100F3F40', '35']
['ChatChatGroupArrayInit', '00000000100F3CC0', '36']
['ChatChatGroupClear', '00000000100F3FA0', '37']
['ChatChatGroupInit', '00000000100F3FC0', '38']
['ChatChatGroupListClear', '00000000100F3FD0', '39']
['ChatChatGroupListInit', '00000000100F3710', '40']
['ChatChatGroupUpdateClear', '00000000100F3FF0', '41']
['ChatChatGroupUpdateInit', '00000000100F4020', '42']
['ChatChatMessageArrayClear', '00000000100F4040', '43']
['ChatChatMessageArrayInit', '00000000100F3CC0', '44']
['ChatChatMessageClear', '00000000100F4100', '45']
['ChatChatMessageInit', '00000000100F4180', '46']
['ChatChatMessageListClear', '00000000100F41B0', '47']
['ChatChatMessageListInit', '00000000100F3710', '48']
['ChatChatParticipantArrayClear', '00000000100F41D0', '49']
['ChatChatParticipantArrayInit', '00000000100F3CC0', '50']
['ChatChatParticipantClear', '00000000100F4270', '51']
['ChatChatParticipantInit', '00000000100F42D0', '52']
['ChatChatParticipantsClear', '00000000100F42F0', '53']
['ChatChatParticipantsInit', '00000000100F3710', '54']
['ChatChatPlayerArrayClear', '00000000100F4310', '55']
['ChatChatPlayerArrayInit', '00000000100F3CC0', '56']
['ChatChatPlayerClear', '00000000100F43F0', '57']
['ChatChatPlayerInit', '00000000100F4490', '58']
['ChatChatPlayerParticipantsClear', '00000000100F44B0', '59']
['ChatChatPlayerParticipantsInit', '00000000100F3710', '60']
['ChatChatSessionClear', '00000000100F44D0', '61']
['ChatChatSessionInit', '00000000100F4530', '62']
['ChatChatSharedPayloadClear', '00000000100F4550', '63']
['ChatChatSharedPayloadInit', '00000000100F45B0', '64']
['ChatChatWindowSettingsClear', '00000000100F45D0', '65']
['ChatChatWindowSettingsInit', '00000000100F45F0', '66']
['ChatConvoCidClear', '00000000100F36E0', '67']
['ChatConvoCidInit', '00000000100F3710', '68']
['ChatConvoJoinClear', '00000000100F4620', '69']
['ChatConvoJoinFederatedClear', '00000000100F4660', '70']
['ChatConvoJoinFederatedInit', '00000000100F45B0', '71']
['ChatConvoJoinInit', '00000000100F46D0', '72']
['ChatConvoUpdateClear', '00000000100F46E0', '73']
['ChatConvoUpdateInit', '00000000100F4730', '74']
['ChatDeviceChatSettingsClear', '00000000100F4750', '75']
['ChatDeviceChatSettingsInit', '00000000100F3740', '76']
['ChatErrorArrayClear', '00000000100F4770', '77']
['ChatErrorArrayInit', '00000000100F3CC0', '78']
['ChatErrorClear', '00000000100F4820', '79']
['ChatErrorIdClear', '00000000100F3720', '80']
['ChatErrorIdInit', '00000000100F3740', '81']
['ChatErrorInit', '00000000100F4890', '82']
['ChatErrorListClear', '00000000100F48B0', '83']
['ChatErrorListInit', '00000000100F3710', '84']
['ChatFriendGroupCreateClear', '00000000100F48D0', '85']
['ChatFriendGroupCreateInit', '00000000100F3610', '86']
['ChatFriendGroupNameClear', '00000000100F3720', '87']
['ChatFriendGroupNameInit', '00000000100F3740', '88']
['ChatFriendGroupOrderClear', '00000000100F48F0', '89']
['ChatFriendGroupOrderInit', '00000000100F3710', '90']
['ChatFriendPidClear', '00000000100F36E0', '91']
['ChatFriendPidInit', '00000000100F3710', '92']
['ChatFriendRequestAddClear', '00000000100F4940', '93']
['ChatFriendRequestAddInit', '00000000100F45B0', '94']
['ChatFriendRequestArrayClear', '00000000100F49A0', '95']
['ChatFriendRequestArrayInit', '00000000100F3CC0', '96']
['ChatFriendRequestClear', '00000000100F4A40', '97']
['ChatFriendRequestInit', '00000000100F4AA0', '98']
['ChatFriendRequestListClear', '00000000100F4AC0', '99']
['ChatFriendRequestListInit', '00000000100F3710', '100']
['ChatFriendRequestListPuuidClear', '00000000100F4AE0', '101']
['ChatFriendRequestListPuuidInit', '00000000100F3710', '102']
['ChatFriendRequestPostClear', '00000000100F4B00', '103']
['ChatFriendRequestPostInit', '00000000100F46D0', '104']
['ChatFriendRequestPuuidArrayClear', '00000000100F4B40', '105']
['ChatFriendRequestPuuidArrayInit', '00000000100F3CC0', '106']
['ChatFriendRequestPuuidClear', '00000000100F4BC0', '107']
['ChatFriendRequestPuuidInit', '00000000100F4C10', '108']
['ChatFriendUpdateClear', '00000000100F4B00', '109']
['ChatFriendUpdateInit', '00000000100F46D0', '110']
['ChatMessageArrayClear', '00000000100F4C30', '111']
['ChatMessageArrayInit', '00000000100F3CC0', '112']
['ChatMessageClear', '00000000100F4D00', '113']
['ChatMessageInit', '00000000100F4D90', '114']
['ChatMessageListClear', '00000000100F4DD0', '115']
['ChatMessageListInit', '00000000100F3710', '116']
['ChatMessagePostClear', '00000000100F4DF0', '117']
['ChatMessagePostInit', '00000000100F4730', '118']
['ChatMessageSendClear', '00000000100F36E0', '119']
['ChatMessageSendInit', '00000000100F3710', '120']
['ChatMultiGamePresenceArrayClear', '00000000100F4E30', '121']
['ChatMultiGamePresenceArrayInit', '00000000100F3CC0', '122']
['ChatMultiGamePresenceClear', '00000000100F4F40', '123']
['ChatMultiGamePresenceInit', '00000000100F5010', '124']
['ChatMultiGamePresenceListClear', '00000000100F5050', '125']
['ChatMultiGamePresenceListInit', '00000000100F3710', '126']
['ChatParticipantEditClear', '00000000100F48D0', '127']
['ChatParticipantEditInit', '00000000100F3610', '128']
['ChatPresenceProductClear', '00000000100F3720', '129']
['ChatPresenceProductInit', '00000000100F3740', '130']
['ChatProductSessionStateClear', '00000000100F36E0', '131']
['ChatProductSessionStateInit', '00000000100F3710', '132']
['ChatProductSessionStateKVArrayClear', '00000000100F5070', '133']
['ChatProductSessionStateKVArrayInit', '00000000100F3CC0', '134']
['ChatRequestPidClear', '00000000100F36E0', '135']
['ChatRequestPidInit', '00000000100F3710', '136']
['ChatRequestPuuidClear', '00000000100F3720', '137']
['ChatRequestPuuidInit', '00000000100F3740', '138']
['ChatSessionPlatformClear', '00000000100F3720', '139']
['ChatSessionPlatformInit', '00000000100F3740', '140']
['ChatSessionStateClear', '00000000100F50F0', '141']
['ChatSessionStateInit', '00000000100F3710', '142']
['ChatUIStateClear', '00000000100F5110', '143']
['ChatUIStateConversationArrayClear', '00000000100F5120', '144']
['ChatUIStateConversationArrayInit', '00000000100F3CC0', '145']
['ChatUIStateConversationClear', '00000000100F51A0', '146']
['ChatUIStateConversationInit', '00000000100F51E0', '147']
['ChatUIStateConversationJoinClear', '00000000100F5200', '148']
['ChatUIStateConversationJoinInit', '00000000100F46D0', '149']
['ChatUIStateConversationListClear', '00000000100F5240', '150']
['ChatUIStateConversationListInit', '00000000100F3710', '151']
['ChatUIStateConversationUpdateClear', '00000000100F5260', '152']
['ChatUIStateConversationUpdateInit', '00000000100F3710', '153']
['ChatUIStateInit', '00000000100F5110', '154']
['ClientConfigConfigStatusClear', '00000000100F5290', '155']
['ClientConfigConfigStatusInit', '00000000100F4730', '156']
['ConnectRiotClient', '00000000100A9D10', '157']
['CookieJarCookieArrayClear', '00000000100F52C0', '158']
['CookieJarCookieArrayInit', '00000000100F3CC0', '159']
